source_text_to_be_translated,user_free_translation_time_taken,user_mcq_translation_time_taken,accuracy_mcq,accuracy_free
a tu,15.470588235294118,7.0588235294117645,11.764705882352942,0.0
a zasię,10.954545454545455,8.636363636363637,40.90909090909091,0.0
albo i,12.217391304347826,5.782608695652174,69.56521739130434,0.0
ale przecież,18.043478260869566,6.043478260869565,39.130434782608695,13.043478260869565
aż do,13.478260869565217,6.565217391304348,43.47826086956522,47.82608695652174
całe życie,15.8,6.4,53.333333333333336,33.33333333333333
choć i,12.869565217391305,4.086956521739131,86.95652173913044,52.17391304347826
chyba że,14.833333333333334,7.833333333333333,62.5,0.0
co tam,9.636363636363637,5.045454545454546,4.545454545454546,0.0
co znaczy,11.133333333333333,5.2,0.0,66.66666666666666
czy jak,11.363636363636363,5.409090909090909,36.36363636363637,18.181818181818183
czy jeno,22.217391304347824,7.608695652173913,65.21739130434783,4.3478260869565215
gdyby chociaż,24.434782608695652,6.739130434782608,39.130434782608695,0.0
im większy,17.47826086956522,5.826086956521739,78.26086956521739,8.695652173913043
jak głosi fama,28.5625,10.9375,37.5,0.0
jak tylko,10.391304347826088,3.260869565217391,95.65217391304348,82.6086956521739
jak wiadomo,16.2,4.0,80.0,46.666666666666664
jednym słowem,15.133333333333333,4.933333333333334,86.66666666666667,60.0
moim zdaniem,21.666666666666668,7.066666666666666,60.0,26.666666666666668
można powiedzieć,17.133333333333333,6.133333333333334,73.33333333333333,6.666666666666667
na koszt,15.73913043478261,5.478260869565218,78.26086956521739,4.3478260869565215
na miłosierdzie boskie,22.8,5.466666666666667,66.66666666666667,0.0
na mocy,16.5,5.291666666666667,75.0,0.0
na siebie,13.5,5.4375,31.25,18.75
na uwadze,15.130434782608695,5.739130434782608,47.82608695652174,4.3478260869565215
na świecie,13.866666666666667,4.6,86.66666666666667,46.666666666666664
nadal,11.823529411764707,5.352941176470588,58.8235294117647,17.647058823529413
nawiasem mówiąc,18.333333333333332,7.8,80.0,0.0
nic podobnego,12.590909090909092,4.636363636363637,81.81818181818181,50.0
nie bacząc na,23.347826086956523,7.434782608695652,82.6086956521739,13.043478260869565
nie inaczej jak,15.727272727272727,5.0,77.27272727272727,50.0
niedaleko za,14.73913043478261,5.608695652173913,60.869565217391305,65.21739130434783
niejednokrotnie,20.470588235294116,6.470588235294118,11.764705882352942,29.411764705882355
nieledwie,18.045454545454547,5.7727272727272725,81.81818181818181,18.181818181818183
nieomalże,10.818181818181818,5.045454545454546,81.81818181818181,13.636363636363633
od momentu kiedy,18.73913043478261,6.434782608695652,30.434782608695652,39.130434782608695
od strony,12.652173913043478,6.608695652173913,78.26086956521739,39.130434782608695
po skończonym,19.47826086956522,5.869565217391305,91.30434782608695,43.47826086956522
przed chwilą,24.41176470588235,8.764705882352942,47.05882352941177,11.76470588235294
także i,10.772727272727273,5.045454545454546,13.636363636363637,72.72727272727273
to mianowicie,21.772727272727273,5.909090909090909,36.36363636363637,9.090909090909092
tym bardziej,15.173913043478262,5.086956521739131,73.91304347826087,17.391304347826086
u boku,14.91304347826087,6.695652173913044,69.56521739130434,26.08695652173913
w bok,14.117647058823529,4.588235294117647,52.94117647058823,52.94117647058824
w dodatku,10.772727272727273,5.045454545454546,36.36363636363637,40.909090909090914
w gruncie,24.6,5.666666666666667,80.0,26.666666666666668
w każdym razie,15.857142857142858,5.642857142857143,42.857142857142854,7.142857142857143
w końcu,15.08695652173913,6.304347826086956,78.26086956521739,56.52173913043478
w odpowiedzi,14.882352941176471,5.882352941176471,70.58823529411765,23.52941176470588
w postaci,20.73913043478261,6.434782608695652,82.6086956521739,13.043478260869565
w rezultacie czego,13.333333333333334,5.266666666666667,6.666666666666667,66.66666666666666
w rzeczywistości,21.6875,5.625,37.5,6.25
w taki oto sposób,22.4,5.0,46.666666666666664,26.666666666666668
w tym,15.08695652173913,5.086956521739131,26.08695652173913,4.3478260869565215
więc jednak,14.136363636363637,7.090909090909091,45.45454545454545,0.0
wszystko jedno,22.705882352941178,7.705882352941177,64.70588235294117,11.76470588235294
wygląda na to,17.466666666666665,5.0,73.33333333333333,13.333333333333334
z tego że,13.652173913043478,5.3478260869565215,34.78260869565217,4.3478260869565215
zanim,11.043478260869565,5.086956521739131,34.78260869565217,0.0
